"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1186","get started link","chromium","Tue Oct 07 23:25:51 IST 2025","passed","Tue Oct 07 23:25:52 IST 2025","","example.spec.ts","",""
"","1474","Logged in with standard user","webkit","Tue Oct 07 23:26:07 IST 2025","passed","Tue Oct 07 23:26:08 IST 2025","","locators.spec.js","",""
"","905","Logged in with standard user","chromium","Tue Oct 07 23:25:52 IST 2025","passed","Tue Oct 07 23:25:53 IST 2025","","locators.spec.js","",""
"","3241","has title","firefox","Tue Oct 07 23:25:54 IST 2025","passed","Tue Oct 07 23:25:58 IST 2025","","example.spec.ts","",""
"","825","has title","chromium","Tue Oct 07 23:25:51 IST 2025","passed","Tue Oct 07 23:25:52 IST 2025","","example.spec.ts","",""
"","2241","Logged in with standard user","firefox","Tue Oct 07 23:25:59 IST 2025","passed","Tue Oct 07 23:26:01 IST 2025","","locators.spec.js","",""
"","422","New Test Cases","firefox","Tue Oct 07 23:25:58 IST 2025","passed","Tue Oct 07 23:25:59 IST 2025","","example.spec.ts","",""
"","1018","has title","webkit","Tue Oct 07 23:26:05 IST 2025","passed","Tue Oct 07 23:26:06 IST 2025","","example.spec.ts","",""
"","2183","get started link","webkit","Tue Oct 07 23:26:05 IST 2025","passed","Tue Oct 07 23:26:07 IST 2025","","example.spec.ts","",""
"","5279","get started link","firefox","Tue Oct 07 23:25:55 IST 2025","passed","Tue Oct 07 23:26:00 IST 2025","","example.spec.ts","",""
"","140","New Test Cases","chromium","Tue Oct 07 23:25:52 IST 2025","passed","Tue Oct 07 23:25:52 IST 2025","","example.spec.ts","",""
"","385","New Test Cases","webkit","Tue Oct 07 23:26:06 IST 2025","passed","Tue Oct 07 23:26:07 IST 2025","","example.spec.ts","",""
